#{"t_start": 1753846520.0343614, "env_id": "None"}
r,l,t
2243.4182,4000,1427.200524
677.8119,1054,1427.280561
2615.8296,3937,1427.397644
878.9487,1198,1427.443965
233.63715,1127,1428.504128
713.6264,2207,1428.62847
1515.5072,2144,1428.863655
343.04675,1163,1442.720579
2407.5652,3804,1444.413698
124.51278,393,1444.659657
1536.6033,2373,1455.947286
659.49457,1232,1456.046166
986.52435,1824,1456.627348
1363.3076,1860,1456.958801
1080.9302,1630,1457.125238
435.0899,773,1457.323861
2589.4443,3890,1469.06699
336.62585,981,1469.29812
510.27115,814,1469.581594
638.0313,1664,1469.941791
492.15332,825,1470.231509
442.34756,4000,1484.099022
403.63126,1308,1484.200278
1745.043,2942,1484.332874
2082.5432,3213,1484.593972
1872.5396,3069,1484.880667
660.6268,1418,1484.938773
886.81055,1556,1498.167943
1385.0918,2019,1498.493716
675.5935,1548,1498.789848
2131.9092,3366,1509.683582
1190.0774,2589,1509.817164
744.875,1932,1509.887718
2844.2375,4000,1510.135308
889.8402,1426,1511.126289
694.5567,1200,1511.220944
944.09924,1525,1521.968925
792.29285,4000,1522.029278
851.2516,1545,1522.339972
550.23413,982,1522.82249
307.3519,1069,1524.215723
1834.7617,2896,1524.418511
792.41656,1460,1537.78882
682.53595,2027,1537.887965
650.31525,1356,1537.971562
858.85333,1333,1538.046249
469.0919,806,1538.331476
356.2289,2984,1538.427153
1881.7155,2436,1538.591564
525.63043,795,1539.147196
601.1567,1315,1539.393592
225.71484,666,1552.879138
378.51648,1058,1553.290153
345.1628,1033,1564.811677
1924.0232,2501,1565.011642
967.37866,1619,1565.488824
481.05923,1335,1565.582209
417.76544,790,1566.019497
1492.1211,3232,1566.090346
897.71594,1332,1567.442433
998.4383,1981,1580.66764
1292.5415,2130,1580.715384
1923.463,2793,1580.78265
1600.9553,2436,1581.681625
1834.0425,3275,1581.726341
1597.586,2715,1593.884847
1133.768,1513,1606.560316
568.3027,1716,1606.776466
954.112,1593,1606.910259
1562.1321,4000,1607.453763
990.86426,2031,1607.65436
1940.0972,3127,1607.773374
1424.6826,2898,1608.003098
320.8954,1184,1608.158209
835.7,1653,1608.513231
389.7982,742,1620.787968
648.16846,1112,1635.295191
943.78265,2611,1648.45468
825.5255,1496,1648.679512
811.6147,2430,1648.740625
1748.9375,4000,1649.000347
2584.4792,4000,1649.205361
1136.733,2098,1649.34173
1717.3019,2211,1649.587452
1571.6024,3665,1661.107161
2038.2594,4000,1661.236647
1397.0421,4000,1662.945658
420.6801,1010,1663.044834
718.4552,1258,1676.494917
368.95453,1560,1676.894873
1478.1854,2349,1677.642648
659.1367,3484,1677.900519
385.92365,1138,1693.619485
1140.8649,1873,1693.716588
891.6331,4000,1694.398575
1317.3193,1779,1694.596273
409.9183,4000,1694.659197
303.41025,748,1705.53478
1510.1937,1953,1705.804868
1104.6205,4000,1705.929453
873.83386,1388,1707.065958
2363.5283,4000,1707.128959
2238.2827,2835,1707.810613
918.1474,1364,1718.855705
1815.4498,3114,1719.163031
681.83496,909,1719.474249
348.42767,1009,1720.079291
762.5666,1021,1732.837054
327.49774,547,1733.3745
2871.2485,4000,1733.543595
913.74835,1683,1733.93222
822.20374,1630,1734.550088
695.66626,2054,1746.753347
784.8657,2470,1748.927488
1000.92834,1614,1748.971603
1346.6837,4000,1749.23969
1046.946,2620,1757.674328
2047.8298,3108,1757.771182
563.9247,869,1757.828951
616.8,3997,1758.525682
330.5513,530,1772.554038
2784.3262,3976,1772.879612
879.30133,1691,1772.945775
1070.1104,1995,1773.000487
456.5939,1358,1786.701137
1174.6656,4000,1799.670047
886.3838,4000,1800.274328
548.2358,1340,1800.697362
403.18753,579,1801.288759
1276.1278,2354,1801.367924
2780.8855,4000,1813.494517
3000.3213,4000,1813.881143
893.0842,1680,1814.014288
310.9756,649,1814.179878
2944.4854,4000,1814.491988
1719.439,4000,1814.662501
2541.8264,3359,1824.635732
604.1649,1030,1826.11674
1794.7272,4000,1838.186502
2220.3723,2801,1838.251214
2265.7551,3725,1838.369426
3060.1904,4000,1839.051111
394.8634,1266,1839.258265
1996.4696,3109,1839.813282
1609.5908,2064,1851.834251
1154.6372,2072,1852.421152
2685.6006,3749,1852.588657
467.50427,976,1852.684782
940.2349,1792,1853.145076
1806.6199,2829,1865.960954
1247.0059,2711,1866.293726
571.27936,942,1866.661645
